lat,long,id,id_place,name,type
40.517916,-74.236158,2de3b2c43112e3a6d63f3b724982f6f9b9a73b34,ChIJwc2541u1w4kRJs2yes-_WYs,Scotty's Top Tomato on Page Avenue,"supermarket, bakery, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5287037,-74.2326435,27c5a2b03cb6436f53bbf8b34e4493efec28552b,ChIJldl7RnC1w4kRasC68LROMoo,Target Grocery,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5283345,-74.2346295,2e20d282bc00802d0d073027ebb3a98fe88820e6,ChIJ5-xipka1w4kRSsL60QLIIEA,Charleston Shopping Center,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.517916,-74.236158,2de3b2c43112e3a6d63f3b724982f6f9b9a73b34,ChIJwc2541u1w4kRJs2yes-_WYs,Scotty's Top Tomato on Page Avenue,"supermarket, bakery, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5287037,-74.2326435,27c5a2b03cb6436f53bbf8b34e4493efec28552b,ChIJldl7RnC1w4kRasC68LROMoo,Target Grocery,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5283345,-74.2346295,2e20d282bc00802d0d073027ebb3a98fe88820e6,ChIJ5-xipka1w4kRSsL60QLIIEA,Charleston Shopping Center,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.516877,-74.243895,6f4b65573b5e385e273fd520fa111f212ed0f9c4,ChIJ-yUVVmC1w4kRPQYSmO1iGZ4,La Bella Marketplace,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
