OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt
1,36085000900,SI,6815.171618999999737,3206.788841999999931,1611.436570999999958,1808.422581000000037,16551.289420000000973,601.884813000000008,24800.659660000001168,172,7.081395349000000,4.076118198000000,4.891951662000000,63.732529130000003,0.002679053000000,0.034902809000000,66.490000000000009,62.727272727272727,1818.383774934109169,0.000000000000000,0.003304285835475,0.004604929802008,0.005543100391515,0.002260364335962,0.001375479149283,0.027366524562240,512.089881749845517,0.027607728830642,7729.016793867140223,2497009.713586886413395,1
2,36061009800,MN,4085.586819000000105,5425.252510000000257,123.909546000000006,1136.142920000000004,709.945692699999995,1349.110777000000098,3470.052872000000207,131,13.157251909999999,4.312094450000000,6.505846436000000,89.954350599999998,0.000903590000000,0.012493660000000,38.960000000000001,28.909090909090910,809.409230110259955,0.000486402013242,0.007279538374860,0.006947435516243,0.033412957563996,0.063850660497944,0.000002284426425,0.022450423489014,1409.530785004080371,0.023197029251605,5534.199810593654547,1906016.350007153814659,2
3,36061010000,MN,4477.527908000000025,5624.021786000000247,178.477286899999996,351.765746999999976,397.941089900000009,2373.014298999999937,2373.014298999999937,133,12.118796990000000,4.080481076000000,1.739323898000000,23.081828670000000,0.000983780000000,0.013055333000000,10.870000000000001,28.363636363636363,1415.984403141484336,0.000273137615636,0.008665365832193,0.008278287714347,0.038296592554876,0.104568324983120,0.000003301273125,0.039749912219122,2676.664628631286632,0.032605711902891,5692.168737042577959,1860938.377239215653390,3
4,36061010200,MN,5056.699322000000393,6159.266063000000031,88.616640570000001,902.512089299999957,327.674701700000014,1864.325366000000031,1864.325366000000031,153,13.076470590000000,5.110422332000000,0.102810988000000,1.336613362000000,0.001028110000000,0.013366134000000,28.360000000000003,33.272727272727273,1362.904283846549788,0.000057405541763,0.009563483181410,0.008736729621887,0.038706995546818,0.136140791078409,0.000000000000000,0.045900707443555,3202.072801905505912,0.049680252692529,5687.802438648618590,1860992.704856778029352,4
5,36061010400,MN,4102.054043000000092,6807.857914999999593,410.953289900000016,1836.059815000000071,717.409924799999999,1787.833255000000008,1787.833255000000008,90,15.454444440000000,3.806445188000000,0.849008082000000,15.058292480000000,0.000923839000000,0.016385520000000,35.829999999999998,43.363636363636367,842.510925308964715,0.000220286600779,0.010234341690583,0.009513449273072,0.037750945559570,0.155566906556487,0.000000000000000,0.049823851790279,3033.332723980431638,0.050309498328716,5693.036366537729009,1864600.375029084738344,5
6,36061011300,MN,5428.367924999999559,10244.732889999999315,394.660556100000008,1214.977566000000024,214.429511100000013,946.147470799999951,5011.453332000000046,101,13.465346530000000,4.294774398000000,0.099010685000000,2.351625338000000,0.000900097000000,0.021378412000000,52.820000000000000,5.818181818181818,1310.568501027357570,0.000006908768000,0.011982590891421,0.011937712784857,0.039494281368596,0.164806902408600,0.000000000000000,0.012273872271180,1430.370555461781123,0.011706283199601,5699.860641230224246,1890907.291028776671737,6
7,36061011402,MN,2913.297789000000193,3765.057852999999795,130.001555400000001,782.266205199999945,283.146765800000026,1549.566514000000097,1549.566514000000097,78,9.647435896999999,2.806103013000000,1.893933784000000,26.459815960000000,0.001055116000000,0.014740845000000,15.809999999999999,38.727272727272727,1542.355391004541389,0.002241434558528,0.007773126102984,0.007172894082032,0.037963616847992,0.077867094427347,0.000401959929150,0.119053242728114,2450.948367803288875,0.122019229456782,4125.256029299770489,1063547.413887061178684,7
8,36061013000,MN,1098.439108999999917,2380.756127000000106,1149.522073999999975,2037.591570999999931,1383.978182000000061,541.702785500000005,541.702785500000005,197,13.640101520000000,4.062379165000000,5.069988643000000,54.093344899999998,0.001462778000000,0.015606851000000,23.530000000000001,55.818181818181820,1130.411530216868641,0.002185144578107,0.008342996821739,0.004609426416989,0.028720618691295,0.039072373615844,0.001307037027021,0.271694081170218,3211.558752616806487,0.264905180782080,5807.972956405234982,1918144.540326216956601,8
9,36061014000,MN,1075.055714999999964,764.008852400000023,608.843684499999995,226.248236800000001,954.654177900000036,1551.354289999999992,1551.354289999999992,158,11.895569620000000,3.190298689000000,9.016618233999999,116.826721899999995,0.001197585000000,0.015516898000000,6.390000000000000,34.636363636363633,577.376028279095863,0.002149980185398,0.013864867285722,0.005999903194606,0.037326357430882,0.034512570127845,0.001897610258311,0.290150100986163,2893.059924438711278,0.283146318048239,5820.815640256236293,1925984.222537209512666,9
10,36061014801,MN,2262.513003999999910,1645.413530000000037,214.852690599999988,1419.498890999999958,272.420462400000019,1563.824544999999944,1563.824544999999944,30,11.843333330000000,3.841846120000000,2.369968620000000,41.126370739999999,0.000755971000000,0.013118460000000,16.760000000000002,33.818181818181820,868.497356566931330,0.001860411255620,0.013469688128680,0.004818763118237,0.036677217110991,0.033603881796201,0.001369387765105,0.304144312938054,1815.224928242011401,0.298056840896606,3135.951422989136972,559216.157807507435791,10
