nyct2010_Geo_FIPS,deaths,cases
36005000100,13.5268854496036,310.6956501705827
36005000200,10.921243292542703,174.81790156134429
36005000400,13.522866042749467,216.46244858429682
36005001600,14.230375701067544,227.7876567578026
36005001900,7.2084803199217315,88.5974900204118
36005002000,22.6286306526619,362.21972351868084
36005002300,12.65896451154502,155.45681649375553
36005002400,0.4029320853570325,6.44974328036202
36005002500,16.20071967863623,198.950893997458
36005002701,7.892587098983859,96.92392007537188
36005002702,12.93966108448212,158.9038753739206
36005002800,12.200219205565451,195.27534998930722
36005003100,4.419385099501806,58.478549307125505
36005003300,9.725187867199702,119.43207188436475
36005003500,10.063708065008406,134.11794095475028
36005003700,0.6845390982469511,9.283956999162942
36005003800,3.448766724116006,55.20490163388549
36005003900,18.55379065861895,227.8470653827081
36005004001,4.144237185837036,49.79939453877511
36005004100,15.182592077124589,186.44812059861644
36005004200,17.3332362721668,277.4436509818261
36005004300,15.755953603177147,209.20360453376023
36005004400,12.856995065610677,154.4943456662554
36005004600,4.369882346575475,69.94933099054028
36005004800,13.06110404866018,156.93743729958464
36005005001,13.895156167437975,166.96919449167072
36005005002,15.402617499378032,185.07207589096416
36005005100,18.61226884193096,219.70410993074208
36005005200,5.835806387506091,70.11953992981024
36005005300,9.196644804847473,157.00379843485118
36005005400,16.753449196622203,201.30263387671158
36005005600,6.653335677964139,79.94418112801088
36005005902,8.45442364972012,99.75121929572376
36005006000,3.2445660502063105,48.5675663060322
36005006100,12.344395800670252,145.64783876505098
36005006200,20.048743133696757,240.9055288601174
36005006300,14.29013732708383,176.2445337016945
36005006400,10.080292890543227,121.12344342944661
36005006500,17.050771125494485,205.05426767338798
36005006700,21.469814866767678,268.901821757526
36005006800,9.193011657835195,110.45978070117602
36005006900,26.02875187885104,312.66585503937074
36005007000,12.793187049348976,153.7181381398338
36005007100,7.427812203786801,95.5287510492126
36005007200,16.440542277354055,197.54731697198997
36005007300,10.977973904689913,148.88877108235693
36005007400,7.970165551576842,127.57957857916931
36005007500,17.47714112103779,203.5104082567828
36005007600,15.23177027139423,183.02714608270963
36005007700,6.402264786499887,65.89940915425348
36005007800,19.604923741297224,235.57906316004173
36005007900,17.950963788806593,243.45257141176583
36005008300,16.58910827807243,224.98978102135735
36005008400,6.685895221720322,107.022079941966
36005008500,15.6928157758072,206.98236600279049
36005008600,9.576702398494183,153.295643393039
36005008700,21.024055047079933,221.69924105343435
36005008900,10.93848505851482,115.35308191251062
36005009000,8.036767715896477,135.06137593535993
36005009200,14.76462928793985,210.28453955076245
36005009300,10.903038621502576,177.8191170169772
36005009600,6.9646558990813885,100.55615686123811
36005009800,11.601935509902416,185.7070325767135
36005011000,0,0
36005011502,7.575607929967503,124.09006888858266
36005011700,2.7957692035014117,45.79736219068979
36005011800,10.5376012606495,191.76118338061067
36005011900,18.995052830995586,200.31429161936708
36005012101,9.934424296957301,104.75761189785513
36005012102,5.158654670567914,54.39755014892273
36005012300,13.997944092264238,147.61518060079027
36005012500,14.340988440174929,151.22443498891047
36005012701,6.262858351548345,66.04127878489003
36005012901,14.17685307998259,149.49330279100084
36005013000,2.9341015815391907,53.39420020910879
36005013100,17.26005527348894,181.2371726199578
36005013200,14.03426329055359,255.3927473533708
36005013300,19.381183141620454,195.19676415920398
36005013500,11.395642205608647,114.3172671751035
36005013800,5.072219065122373,92.30323925101813
36005014100,19.496375339744127,226.35487864837438
36005014300,4.572531006499458,49.77707928460701
36005014400,10.798197658595756,196.50346508389637
36005014500,25.626365716512055,255.9185209265143
36005014701,22.79606553460904,227.65363762845254
36005014702,17.12241770224294,170.99706566492753
36005014900,15.267932242133053,152.47369370426478
36005015100,16.617202972388583,170.4909063250407
36005015200,5.0651442534972295,92.17449322847705
36005015300,14.100123614997862,170.41765834937945
36005015500,6.447786311920846,96.5181868164029
36005015700,11.887579334864693,152.5115338686755
36005015800,2.1192906991156764,38.566432942149014
36005015900,6.738042911607986,71.05205728947104
36005016000,7.564690607280827,137.66074335886867
36005016100,9.751434710891346,145.97016419008372
36005016200,3.850763321306772,70.07542923169247
36005016300,0,0
36005016400,1.944968692647733,35.39415268255843
36005016500,2.323101218484653,31.650717659248574
36005016600,4.630317729026832,84.26160609954857
36005016700,9.26624268864536,126.24605960044026
36005016900,4.083203567934131,51.72648209989711
36005017100,0,0
36005017300,18.6890156949957,207.54783441492208
36005017500,23.125842520179802,230.94696604327706
36005017701,15.40655329215822,153.85803725434775
36005017702,18.52081722015075,184.96336467139176
36005017901,16.026884687699088,160.06648307659637
36005017902,11.846904963094763,118.35221366705714
36005018101,9.947665303580601,99.34267774552211
36005018102,18.54040552355014,185.17321024486574
36005018301,13.428449840676713,158.44480598344637
36005018302,12.441401476470777,134.3861887224054
36005018400,11.299798441151658,165.49529032123382
36005018500,27.614695114267,275.7785252641123
36005018900,19.10968446163609,314.658493170735
36005019300,13.747797410478487,226.37524837141822
36005019400,5.075639544339839,86.38117871056905
36005019500,17.168801738732515,282.6655717270073
36005019700,16.583006429182674,273.0153444188603
36005019900,19.582553318110147,322.45204368191486
36005020000,12.791054862261223,187.3299878763789
36005020100,9.842448004714637,162.06917455527176
36005020200,6.121825356197826,89.1251210735918
36005020400,8.474794675296158,123.56851095468508
36005020501,14.445358795323568,246.60747319948402
36005020502,4.43790656889222,75.76330316114802
36005020601,5.662217144060412,80.64833607891451
36005020900,10.411533393083467,171.43763400593264
36005021001,21.39097595006258,304.6771898395904
36005021002,18.68822488236256,266.1809327839208
36005021100,11.890231904589887,195.78804615579216
