OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt,CaseDensity
1,36085000900,SI,6815.171619,3206.788842,1611.436571,1808.422581,16551.28942,601.884813,24800.65966,172,7.081395349,4.076118198,4.891951662,63.73252913,0.002679053,66.49000000000001,62.72727272727273,1818.3837749341092,0,0.003304285835475,0.004604929802008,0.005543100391515,0.002260364335962,0.001375479149283,0.02736652456224,512.0898817498455,0.027607728830642,7729.01679386714,2497009.7135868864,1,0.034902808943044906
2,36061009800,MN,4085.586819,5425.25251,123.909546,1136.14292,709.9456927,1349.110777,3470.052872,131,13.15725191,4.31209445,6.505846436,89.9543506,9.0359e-4,38.96,28.90909090909091,809.40923011026,4.86402013242e-4,0.00727953837486,0.006947435516243,0.033412957563996,0.063850660497944,2.284426425e-6,0.022450423489014,1409.5307850040804,0.023197029251605,5534.199810593655,1906016.3500071538,2,0.012493659805555555
3,36061010000,MN,4477.527908,5624.021786,178.4772869,351.765747,397.9410899,2373.014299,2373.014299,133,12.11879699,4.080481076,1.739323898,23.08182867,9.8378e-4,10.870000000000001,28.363636363636363,1415.9844031414843,2.73137615636e-4,0.008665365832193,0.008278287714347,0.038296592554876,0.10456832498312,3.301273125e-6,0.039749912219122,2676.6646286312866,0.032605711902891,5692.168737042578,1860938.3772392157,3,0.013055332958144797
4,36061010200,MN,5056.699322,6159.266063,88.61664057,902.5120893,327.6747017,1864.325366,1864.325366,153,13.07647059,5.110422332,0.102810988,1.336613362,0.00102811,28.360000000000003,33.27272727272727,1362.9042838465498,5.7405541763e-5,0.00956348318141,0.008736729621887,0.038706995546818,0.136140791078409,0,0.045900707443555,3202.072801905506,0.049680252692529,5687.802438648619,1860992.704856778,4,0.01336613362
5,36061010400,MN,4102.054043,6807.857915,410.9532899,1836.059815,717.4099248,1787.833255,1787.833255,90,15.45444444,3.806445188,0.849008082,15.05829248,9.23839e-4,35.83,43.36363636363637,842.5109253089647,2.20286600779e-4,0.010234341690583,0.009513449273072,0.03775094555957,0.155566906556487,0,0.049823851790279,3033.3327239804316,0.050309498328716,5693.036366537729,1864600.3750290847,5,0.016385519564744287
6,36061011300,MN,5428.367925,10244.73289,394.6605561,1214.977566,214.4295111,946.1474708,5011.453332,101,13.46534653,4.294774398,0.099010685,2.351625338,9.00097e-4,52.82,5.818181818181818,1310.5685010273576,6.908768e-6,0.011982590891421,0.011937712784857,0.039494281368596,0.1648069024086,0,0.01227387227118,1430.3705554617811,0.011706283199601,5699.860641230224,1890907.2910287767,6,0.02137841216363636
7,36061011402,MN,2913.297789,3765.057853,130.0015554,782.2662052,283.1467658,1549.566514,1549.566514,78,9.647435897,2.806103013,1.893933784,26.45981596,0.001055116,15.809999999999999,38.72727272727273,1542.3553910045414,0.002241434558528,0.007773126102984,0.007172894082032,0.037963616847992,0.077867094427347,4.0195992915e-4,0.119053242728114,2450.948367803289,0.122019229456782,4125.2560292997705,1063547.4138870612,7,0.014740844545961003
8,36061013000,MN,1098.439109,2380.756127,1149.522074,2037.591571,1383.978182,541.7027855,541.7027855,197,13.64010152,4.062379165,5.069988643,54.0933449,0.001462778,23.53,55.81818181818182,1130.4115302168686,0.002185144578107,0.008342996821739,0.004609426416989,0.028720618691295,0.039072373615844,0.001307037027021,0.271694081170218,3211.5587526168065,0.26490518078208,5807.972956405235,1918144.540326217,8,0.015606850807847662
9,36061014000,MN,1075.055715,764.0088524,608.8436845,226.2482368,954.6541779,1551.35429,1551.35429,158,11.89556962,3.190298689,9.016618234,116.8267219,0.001197585,6.39,34.63636363636363,577.3760282790959,0.002149980185398,0.013864867285722,0.005999903194606,0.037326357430882,0.034512570127845,0.001897610258311,0.290150100986163,2893.0599244387113,0.283146318048239,5820.815640256236,1925984.2225372095,9,0.015516897582680302
10,36061014801,MN,2262.513004,1645.41353,214.8526906,1419.498891,272.4204624,1563.824545,1563.824545,30,11.84333333,3.84184612,2.36996862,41.12637074,7.55971e-4,16.76,33.81818181818182,868.4973565669313,0.00186041125562,0.01346968812868,0.004818763118237,0.036677217110991,0.033603881796201,0.001369387765105,0.304144312938054,1815.2249282420114,0.298056840896606,3135.951422989137,559216.1578075074,10,0.013118459566188198
