OBJECTID,IDINT,NID,WEIGHT
1,1951,1910,0.500000000000000
2,1951,1950,0.500000000000000
3,1690,1711,0.500000000000000
4,1690,1910,0.500000000000000
5,1910,1690,0.250000000000000
6,1910,1711,0.250000000000000
7,1910,1950,0.250000000000000
8,1910,1951,0.250000000000000
9,1950,1711,0.166666666666667
10,1950,1754,0.166666666666667
11,1950,1910,0.166666666666667
12,1950,1941,0.166666666666667
13,1950,1949,0.166666666666667
14,1950,1951,0.166666666666667
15,1949,1349,0.250000000000000
16,1949,1711,0.250000000000000
17,1949,1754,0.250000000000000
18,1949,1950,0.250000000000000
19,1754,719,0.166666666666667
20,1754,1349,0.166666666666667
21,1754,1753,0.166666666666667
22,1754,1941,0.166666666666667
23,1754,1949,0.166666666666667
24,1754,1950,0.166666666666667
25,1711,1349,0.142857142857143
26,1711,1690,0.142857142857143
27,1711,1760,0.142857142857143
28,1711,1761,0.142857142857143
29,1711,1910,0.142857142857143
30,1711,1949,0.142857142857143
31,1711,1950,0.142857142857143
32,1349,719,0.142857142857143
33,1349,1711,0.142857142857143
34,1349,1753,0.142857142857143
35,1349,1754,0.142857142857143
36,1349,1760,0.142857142857143
37,1349,1761,0.142857142857143
38,1349,1949,0.142857142857143
39,1753,719,0.166666666666667
40,1753,1349,0.166666666666667
41,1753,1754,0.166666666666667
42,1753,1923,0.166666666666667
43,1753,1924,0.166666666666667
44,1753,1941,0.166666666666667
45,719,1349,0.142857142857143
46,719,1753,0.142857142857143
47,719,1754,0.142857142857143
48,719,1760,0.142857142857143
49,719,1803,0.142857142857143
50,719,1923,0.142857142857143
51,719,1924,0.142857142857143
52,1760,719,0.125000000000000
53,1760,1349,0.125000000000000
54,1760,1711,0.125000000000000
55,1760,1761,0.125000000000000
56,1760,1803,0.125000000000000
57,1760,1924,0.125000000000000
58,1760,2149,0.125000000000000
59,1760,2150,0.125000000000000
60,1761,1349,0.166666666666667
61,1761,1649,0.166666666666667
62,1761,1711,0.166666666666667
63,1761,1760,0.166666666666667
64,1761,2149,0.166666666666667
65,1761,2150,0.166666666666667
66,1803,719,0.125000000000000
67,1803,982,0.125000000000000
68,1803,1760,0.125000000000000
69,1803,1793,0.125000000000000
70,1803,1924,0.125000000000000
71,1803,1941,0.125000000000000
72,1803,2115,0.125000000000000
73,1803,2150,0.125000000000000
74,2150,1760,0.166666666666667
75,2150,1761,0.166666666666667
76,2150,1793,0.166666666666667
77,2150,1794,0.166666666666667
78,2150,1803,0.166666666666667
79,2150,2149,0.166666666666667
80,2149,1649,0.166666666666667
81,2149,1760,0.166666666666667
82,2149,1761,0.166666666666667
83,2149,1793,0.166666666666667
84,2149,1794,0.166666666666667
85,2149,2150,0.166666666666667
86,1793,982,0.125000000000000
87,1793,1636,0.125000000000000
88,1793,1648,0.125000000000000
89,1793,1706,0.125000000000000
90,1793,1794,0.125000000000000
91,1793,1803,0.125000000000000
92,1793,2149,0.125000000000000
93,1793,2150,0.125000000000000
94,1794,1648,0.200000000000000
95,1794,1649,0.200000000000000
96,1794,1793,0.200000000000000
97,1794,2149,0.200000000000000
98,1794,2150,0.200000000000000
99,1649,942,0.200000000000000
100,1649,1648,0.200000000000000
101,1649,1761,0.200000000000000
102,1649,1794,0.200000000000000
103,1649,2149,0.200000000000000
104,1648,942,0.142857142857143
105,1648,1255,0.142857142857143
106,1648,1649,0.142857142857143
107,1648,1706,0.142857142857143
108,1648,1793,0.142857142857143
109,1648,1794,0.142857142857143
110,1648,1825,0.142857142857143
111,942,1255,0.250000000000000
112,942,1648,0.250000000000000
113,942,1649,0.250000000000000
114,942,2126,0.250000000000000
115,1923,719,0.250000000000000
116,1923,1753,0.250000000000000
117,1923,1924,0.250000000000000
118,1923,1941,0.250000000000000
119,1941,982,0.083333333333333
120,1941,1620,0.083333333333333
121,1941,1753,0.083333333333333
122,1941,1754,0.083333333333333
123,1941,1803,0.083333333333333
124,1941,1806,0.083333333333333
125,1941,1835,0.083333333333333
126,1941,1923,0.083333333333333
127,1941,1924,0.083333333333333
128,1941,1942,0.083333333333333
129,1941,1950,0.083333333333333
130,1941,2115,0.083333333333333
131,1924,719,0.166666666666667
132,1924,1753,0.166666666666667
133,1924,1760,0.166666666666667
134,1924,1803,0.166666666666667
135,1924,1923,0.166666666666667
136,1924,1941,0.166666666666667
137,1806,1620,0.200000000000000
138,1806,1740,0.200000000000000
139,1806,1941,0.200000000000000
140,1806,1942,0.200000000000000
141,1806,2107,0.200000000000000
142,982,1636,0.200000000000000
143,982,1793,0.200000000000000
144,982,1803,0.200000000000000
145,982,1941,0.200000000000000
146,982,2115,0.200000000000000
147,1835,1434,0.200000000000000
148,1835,1619,0.200000000000000
149,1835,1620,0.200000000000000
150,1835,1941,0.200000000000000
151,1835,2115,0.200000000000000
152,1620,1619,0.200000000000000
153,1620,1806,0.200000000000000
154,1620,1835,0.200000000000000
155,1620,1941,0.200000000000000
156,1620,2107,0.200000000000000
157,1619,1434,0.250000000000000
158,1619,1620,0.250000000000000
