Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,meanSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,UHVI,GorceryDist
36005016300,BX,3386.837587,3563.807792,1638.358498,2065.299918,2077.329072,0,0,13.87170418,0,0,,,,,1643.573507
36081121100,QN,3991.857554,5624.774327,2726.68052,12206.05973,7671.186612,0,6690.549757,13.0284058,0,0,,,,,4062.842595
36047008600,BK,3297.333788,3751.105569,1149.608356,2104.165195,1772.671006,0,8256.307271,22.16360153,0,0,,,,,897.6951358
36081061302,QN,9692.41051,6563.23534,1915.568742,5410.568276,1872.291002,1540.168467,4693.729072,6.985714286,0,0,,,,,2492.367431
36061000100,MN,11214.1238,12808.1042,8344.671774,13264.36484,8144.839918,6869.94498,21917.83431,13.71851852,0,0,,,,,9023.551659
36061008602,MN,2984.988972,6949.544698,1005.390119,2955.933888,2438.186421,825.0875612,5377.729358,13.77,0,0,,,,,1273.150927
36085015400,SI,17451.67804,11321.32062,5882.101878,30442.94919,36488.57437,2661.626973,9253.132196,11.30647887,0,0,,,,,5324.435764
36047017500,BK,5131.994423,5499.148198,2853.594566,5300.566771,2368.10453,3018.400815,4407.147466,3.338099042,0,0,,,,,3426.735291
36081024600,QN,4455.026875,4126.026655,893.1131607,1070.386023,1315.279156,1753.800006,10355.60133,13.00883978,0,0,,,,,2230.335378
36081062400,QN,17232.84481,7684.224465,2478.492484,6001.597429,15153.21276,897.4855272,15455.07489,9.142307692,0,0,,,,,3027.142315
36081099900,QN,17024.72208,6047.94337,2627.968606,25205.19962,18859.34363,1336.217173,10108.86794,8.398058252,0,0,,,,,8517.658969
36047096000,BK,3320.757484,3499.214773,2487.72784,3646.59532,3591.479182,1037.548472,13582.75171,11.36075269,0,0,,,,,1422.477807
36081029900,QN,7202.126988,4873.778622,2545.413695,6673.289117,4471.422135,1529.413572,10952.95732,9.648,0,0,,,,,2157.517856
36047015400,BK,11787.81604,1999.845525,2821.516135,12440.95774,3868.333314,0,19646.13256,10.16179625,0,0,,,,,2352.930132
36081009900,QN,3789.161356,2231.143568,2463.244212,7409.962475,3319.238707,0,4312.52789,13.24915663,0,0,,,,,2605.244126
36047070203,BK,16724.81226,9834.190565,5904.344989,15297.3162,12551.38884,5462.12735,22898.31422,,0,0,,,,,11299.18113
36081107202,QN,22128.4213,13784.79213,12223.81044,20105.6412,6446.79872,6811.354804,27212.8837,8.425,0,0,,,,,10862.10948
36081079300,QN,4770.120548,4184.203369,1939.519607,5284.263807,6081.638254,1236.948168,1236.948168,4.622222222,0,0,,,,,2153.86249
36047085200,BK,3690.981119,4676.219734,1544.583388,2219.37442,3017.770978,1800.73124,7284.751798,6.086363636,0,0,,,,,1524.709006
36047040700,BK,8486.457871,3002.862263,2389.270335,3803.389938,1239.702782,1058.648072,1921.742667,7.5,0,0,,,,,2426.058208
36081003700,QN,2690.978359,3032.162125,2147.385934,3475.908796,2887.072747,592.4081476,7519.889311,12.9430605,0,0,,,,,2527.517932
36081128300,QN,10082.07905,5471.65217,3606.11883,9948.991548,8788.893866,0,0,9.440339703,0,0,,,,56.45454545,2840.491522
36085008900,SI,3771.2839,2751.949434,4160.679754,7148.9235,21886.76707,2008.191347,23016.61197,,0,0,,,,,4583.289713
36081065501,QN,6649.560336,4039.348316,1608.886705,7926.722468,5642.013422,2477.27587,4317.644345,6.773846154,0,0,,,,,2292.484508
36081038301,QN,6666.099986,4687.043946,2161.939649,5138.280252,2502.692957,1067.104152,1067.104152,11.81288344,0,0,,,,,2067.03732
36047118000,BK,12288.303,7442.437525,2562.779159,5063.961124,1216.048259,1521.658147,1760.780009,8.149099099,0,0,,,,,3069.191294
36085990100,SI,9180.379704,11764.2353,6616.993581,17616.9437,15175.60815,4492.962184,21556.11328,,0,0,,,,,7182.712405
36081091602,QN,22459.79589,14072.75252,5748.360357,27509.95892,16929.29291,8071.577528,39216.09239,10.55555556,0,0,,,,,5912.4594
36081064102,QN,8115.39429,6602.680264,2386.640404,10445.86995,3178.456008,0,0,11.40854766,0,0,,,,67.63636364,3190.014473
36081017100,QN,6734.514793,6891.471133,1969.581573,10226.98666,1262.701351,1109.43059,14097.36188,13.47705882,0,0,,,,,1511.29572
36081010701,QN,8250.092019,7278.331347,2772.608827,7562.647766,4085.154324,2368.846404,4203.813635,12.44727273,0,0,,,,,2013.197577
36005024900,BX,5115.685115,4078.961931,1424.372103,2287.822142,2088.343972,739.5007752,6849.502225,12.23706294,0,0,,,,,1250.690267
36061000500,MN,5969.418947,5898.497424,4505.427092,10745.97013,4993.467928,3612.798707,14660.46202,8.212702079,0,0,,,,,3982.416995
36081071600,QN,19835.77383,16739.0779,9948.023909,9977.84969,13105.25222,7302.745086,24966.50002,11.06461397,0,0,,,,,9651.067143
36005011000,BX,9782.306259,5446.846693,3098.521375,8556.750341,8232.00199,0,0,8.279465241,0,0,,,,13,2837.520378
36061031900,MN,3972.822654,7216.087407,789.0638309,6572.653879,715.5919257,0,16812.00451,26.83154362,0,0,,,,,2610.164556
36081038302,QN,4941.827693,2263.320205,3481.436088,3911.585463,5254.586989,0,0,12.04486486,0,0,,,,17.63636364,3498.801233
36047017700,BK,3659.346288,4441.016754,2213.482881,3167.831793,1908.948582,0,0,13.92362426,0,0,,,,,2537.230439
36081033100,QN,11965.07331,2655.397297,4938.928959,5423.57397,9864.211424,3639.148508,8122.119634,9.983544304,0,0,,,,,4343.445999
