Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,SVI,UHVI,deaths,cases,DeathDensity,CaseDensity
36081084900,QN,3538.925099,2933.183032,699.3562157,7164.379031,1971.72204,886.1576322,1056.149304,142,10.26056338,3.665595416,1099.381797,0.000510346,0.010824598,0.003115992,0.040346179,0.011987481,86.54,52.45454545,15.22272678,145.436824,0.002160784,0.020643978
36005033202,BX,6417.380171,557.5739076,629.2366077,4875.094929,899.4938688,471.9423047,471.9423047,75,10.92533333,4.325227485,1710.633248,0,0.006267705,0.001329616,0.02092765,0.00980546,98.46,74.90909091,13.71428851,162.2789244,0.003251372,0.038472955
36047113200,BK,4410.066261,4314.199629,1701.030467,1360.946418,873.4264434,448.8234255,7855.856231,95,9.356842105,3.356405519,1472.68438,0.000111756,0.00881202,0.010546486,0.0141795,0.014978856,63.51,54.54545455,4.672142514,52.88322202,0.002369241,0.02681705
36047091800,BK,3281.9244,3309.614749,1267.438822,1609.625601,921.5153461,53.67208567,8212.484789,178,13.8752809,7.244445071,1370.222805,0.000540097,0.009017601,0.013765473,0.017620668,0.014146521,90.08,71.18181818,6.837893662,63.28004381,0.003106721,0.028750588
36047092000,BK,2929.198288,3083.084532,2184.670743,2227.457372,1036.811115,634.7780914,9111.586711,167,10.01077844,3.225874869,1516.654574,0.00069738,0.007960495,0.011763535,0.010781648,0.012330511,90.25,74.72727273,8.316286735,76.96438887,0.00310657,0.028750239
36085024402,SI,12700.61015,40963.31909,4375.105979,56390.79268,70954.54341,2323.5005,28570.63876,531,8.411864407,3.620032121,5485.597308,0,2.33599E-05,0.000220937,0.000373119,0.000216361,15.58,41.63636364,5.411886144,161.467257,0.001162846,0.034694297
36081024500,QN,5614.493721,957.9687239,608.0772616,8204.901933,2298.933849,487.0140336,14419.15242,373,10.32788204,5.566839711,2483.425944,3.63431E-05,0.004709819,0.001755481,0.015899456,0.010665355,66.97,58,12.25339328,160.0986283,0.002366434,0.030919009
36081064102,QN,8115.39429,6602.680264,2386.640404,10445.86995,3178.456008,0,0,1322,11.40854766,10.38517816,3190.014473,0,0.002500904,0.000935336,0.009139952,0.004063879,,67.63636364,0,0,,
36081081400,QN,11702.84557,11269.90727,1624.788184,3115.556796,8220.3913,1249.038526,15245.32688,203,8.277832512,2.022632152,2297.628827,0,0.002316939,0.004523036,0.004684057,0,84.56,62.54545455,7.799375257,113.7073598,0.002102824,0.030657147
36081075702,QN,3594.218701,561.6664855,1312.33169,3939.973561,1557.156831,796.1112325,796.1112325,197,9.403045685,2.675377308,1309.575248,0.000415686,0.004559588,0.00260892,0.020961916,0.01212004,58.67,53.54545455,11.62500245,108.1250228,0.002557756,0.023789884
36047017200,BK,11670.06411,2129.627859,773.1033512,12686.09677,2467.51182,1201.66502,18846.11549,119,10.12773109,4.251478793,1062.045885,0,0.01030306,0.000634711,0.016472904,0.006769934,54.67,57.09090909,6.306170965,61.5067664,0.001921441,0.018740636
36047018400,BK,9743.989663,2103.955187,1207.508149,10729.34825,1832.618866,1393.723942,16893.59217,72,8.2625,2.526392379,915.9586516,0,0.009191563,0.001245922,0.018994193,0.012317608,60.44,56.45454545,5.28086386,51.37985136,0.001907138,0.018555381
36081030600,QN,16618.57841,9990.031073,3223.792624,4878.449839,13948.46449,2028.388369,21303.07629,510,8.684509804,2.809116379,4115.738928,0,0.000859351,0.002299438,0.00097893,0,76.7,61.18181818,14.90240947,171.8255256,0.003086663,0.03558938
36081079200,QN,12999.10788,11014.63419,1803.228463,2039.133068,9758.886576,2197.795251,17032.92693,207,8.610628019,1.75144409,2199.431245,0,0.002797107,0.006027516,0.002671896,0,71.49,63.36363636,5.553288281,72.43261197,0.002280611,0.029746453
36005024501,BX,3638.233212,3340.889093,850.1806234,2163.756436,1901.362777,425.9262313,6255.13965,98,11.44795918,8.276176586,578.4442166,0.000445483,0.006770902,0.009736274,0.027592324,0.017556494,99.98,70.54545455,10.27714996,175.4500271,0.002051737,0.035026957
36047047700,BK,6809.772467,7872.31293,1000.374981,2550.289242,1418.011212,760.7686666,17958.24287,189,11.02433862,3.018126129,1577.596886,0,0.007443121,0.003372987,0.008965497,0.018329833,9.59,20.18181818,4.37037325,79.25099619,0.001162024,0.021071788
36047049700,BK,6115.602989,6889.806034,71.41421983,1889.900214,625.3708328,1570.504287,17373.09215,120,11.88833333,4.117847674,780.2133534,0,0.010216854,0.004819716,0.012752081,0.025128225,6.87,22.54545455,3.908459166,72.98510715,0.001356162,0.025324465
36081096400,QN,10985.27152,556.7217771,260.5316424,11819.19609,1235.331181,514.2446832,41121.95676,345,9.03884058,4.048879954,1024.193263,0,0.002838016,0.000980166,0.004611118,0.009135166,83.55,61.81818182,31.80272212,245.2869525,0.005281967,0.040738574
36081024300,QN,5437.608561,1871.646093,1620.866401,8298.765731,3301.634454,493.7138868,13989.97017,467,8.766595289,3.721743006,3391.669134,9.13846E-05,0.003577011,0.001542183,0.009475065,0.005270791,42.41,38.90909091,13.12187401,171.4458954,0.002366434,0.030919007
36081051500,QN,6676.823342,3204.82978,737.7862833,9714.04086,5352.856706,1376.119285,13696.98123,234,8.350854701,2.957629857,2441.907408,0,0.003484505,0.000472206,0.006294399,8.9876E-05,40.17,53.36363636,6.375675809,74.59796221,0.001955729,0.02288281
36047107800,BK,10203.38304,2130.336016,1353.822833,5279.229795,3538.756179,839.7099689,9296.634683,491,10.7299389,4.97948647,2128.128592,0,0.008030332,0.00204551,0.008560309,0.001286134,68.17,70.72727273,10.13563929,114.5015034,0.002439971,0.027564156
36085014605,SI,19898.94327,9340.488782,2605.900857,28405.88689,39272.77198,854.3757777,4205.097183,344,6.729360465,2.202181174,2343.593665,0,0.002304983,0,0.003142235,0.002217625,13.05,49.54545455,4.074894422,112.2032937,0.001026422,0.028262794
36047031900,BK,3961.346146,2977.717447,938.2763472,2887.773096,490.3287676,279.4893354,3924.395509,95,11.59789474,5.550004388,806.964895,0.000787941,0.006710036,0.017602303,0.026286277,0.01748969,67.07,59.72727273,7.376452466,70.88809747,0.002358201,0.022662435
36047033300,BK,3391.808278,2302.45709,80.89124542,2105.729436,1331.460821,1122.748007,5676.983122,102,9.967647059,4.687653084,804.8702466,0.00171179,0.006944408,0.018252574,0.024545973,0.014050229,68.13,54,10.53890594,114.9759779,0.002286593,0.02494597
36061013500,MN,1826.622557,8848.083796,1161.03839,1826.622557,3062.54738,87.19486722,3058.680968,289,17.57301038,8.389169084,667.5206749,0.001073118,0.008953181,0.006614502,0.01917629,0.032727623,71.41,31.63636364,6.989471339,123.9801508,0.000846798,0.015020614
36061013900,MN,876.6233315,8636.051824,438.628747,876.6233315,1225.224368,1111.685577,1111.685577,104,14.03076923,4.297257579,945.457027,0.001375965,0.011966333,0.009230582,0.030410075,0.089968161,38.38,30.36363636,9.667611703,171.4850171,0.000923804,0.016386528
36085019800,SI,1890.889751,29602.36043,2224.18759,46358.70559,59314.77288,710.7478056,17695.52859,1293,8.700618716,5.391599898,6014.771176,0.000508932,0.000266122,0.000506681,0.001407662,0.002071742,17.03,49.36363636,6.428367351,196.5584153,0.000983231,0.030063997
36047107000,BK,12184.97756,4560.810642,1414.779417,8040.814539,7523.907265,407.4680773,13302.28659,620,14.83516129,11.98618304,1437.94531,0,0.00287655,0.000757486,0.003074769,3.15478E-05,58.73,54.09090909,4.201487871,47.41061473,0.002134902,0.02409076
36081077903,QN,4894.286953,4754.251761,1964.92423,7766.905753,3086.186432,270.2710077,1540.580399,574,6.740766551,4.199980483,1312.228822,7.18323E-05,0.005983829,0.002103088,0.014021572,0.006648718,50.52,35.63636364,5.325915237,101.7488284,0.001599374,0.030555204
36047056300,BK,4911.882857,9669.204549,1197.275917,6518.107434,1672.422188,304.8158597,11536.3161,142,10.07323944,3.235747044,1412.302148,0.000109123,0.003891727,0.000946025,0.008798276,0.013955013,62.28,24.90909091,4.612670759,78.82240327,0.000909618,0.015543759
36047056500,BK,5782.229492,8663.213476,945.7591386,6185.953316,1000.5648,413.9914034,13164.92971,148,11.19054054,4.196732416,1015.2059,7.53354E-06,0.003898673,0.001340202,0.011620453,0.011687858,8.84,26.45454545,2.802613692,47.8917222,0.000909644,0.015544214
36081017100,QN,6734.514793,6891.471133,1969.581573,10226.98666,1262.701351,1109.43059,14097.36188,170,13.47705882,4.880986253,1511.29572,0,0.00684735,0.002587009,0.01561481,0.031771053,,,0,0,,
36081025500,QN,6391.946571,3464.826644,826.7429505,7587.050331,1013.140075,1148.809218,14857.77382,124,12.08790323,4.9091849,1952.278604,0,0.006742728,0.003109352,0.020301287,0.017555238,52.86,26.72727273,3.404879927,44.48883207,0.002366143,0.030916492
