Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36005003700","14000US36005003700","Census Tract 37","Census Tract 37, Bronx County, New York","ny","140","00","ACSSF","0003499",,,,,"36","005",,,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,92,75,0,0,0,102,0
"36005003800","14000US36005003800","Census Tract 38","Census Tract 38, Bronx County, New York","ny","140","00","ACSSF","0003500",,,,,"36","005",,,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,794,495,6,7,0,132,0
"36005003900","14000US36005003900","Census Tract 39","Census Tract 39, Bronx County, New York","ny","140","00","ACSSF","0003501",,,,,"36","005",,,,"003900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6742,966,1384,46,0,0,4346,0
"36005004001","14000US36005004001","Census Tract 40.01","Census Tract 40.01, Bronx County, New York","ny","140","00","ACSSF","0003502",,,,,"36","005",,,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,450,163,0,175,0,659,38
"36005004100","14000US36005004100","Census Tract 41","Census Tract 41, Bronx County, New York","ny","140","00","ACSSF","0003503",,,,,"36","005",,,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5517,715,1385,0,41,0,3118,258
"36005004200","14000US36005004200","Census Tract 42","Census Tract 42, Bronx County, New York","ny","140","00","ACSSF","0003504",,,,,"36","005",,,,"004200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7207,2296,3615,0,88,0,1005,203
"36005004300","14000US36005004300","Census Tract 43","Census Tract 43, Bronx County, New York","ny","140","00","ACSSF","0003505",,,,,"36","005",,,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088,898,1924,39,42,0,2888,297
"36005004400","14000US36005004400","Census Tract 44","Census Tract 44, Bronx County, New York","ny","140","00","ACSSF","0003506",,,,,"36","005",,,,"004400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4607,567,1965,22,102,0,1792,159
"36005004600","14000US36005004600","Census Tract 46","Census Tract 46, Bronx County, New York","ny","140","00","ACSSF","0003507",,,,,"36","005",,,,"004600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817,817,655,0,0,0,232,113
"36005004800","14000US36005004800","Census Tract 48","Census Tract 48, Bronx County, New York","ny","140","00","ACSSF","0003508",,,,,"36","005",,,,"004800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,484,1129,152,0,0,2523,392
"36005005001","14000US36005005001","Census Tract 50.01","Census Tract 50.01, Bronx County, New York","ny","140","00","ACSSF","0003509",,,,,"36","005",,,,"005001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979,518,1278,66,49,0,2901,167
"36005005002","14000US36005005002","Census Tract 50.02","Census Tract 50.02, Bronx County, New York","ny","140","00","ACSSF","0003510",,,,,"36","005",,,,"005002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5519,681,1212,40,74,0,3319,193
"36005005100","14000US36005005100","Census Tract 51","Census Tract 51, Bronx County, New York","ny","140","00","ACSSF","0003511",,,,,"36","005",,,,"005100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5588,547,1896,0,30,0,2913,202
"36005005200","14000US36005005200","Census Tract 52","Census Tract 52, Bronx County, New York","ny","140","00","ACSSF","0003512",,,,,"36","005",,,,"005200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091,311,505,36,9,0,1134,96
"36005005300","14000US36005005300","Census Tract 53","Census Tract 53, Bronx County, New York","ny","140","00","ACSSF","0003513",,,,,"36","005",,,,"005300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4483,414,2636,72,7,0,1206,148
"36005005400","14000US36005005400","Census Tract 54","Census Tract 54, Bronx County, New York","ny","140","00","ACSSF","0003514",,,,,"36","005",,,,"005400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6003,778,1610,419,81,0,2989,126
